#                                                     Sat May  9 17:06:41 2020
#          I------------------------------------------------------------------------------------------------------------------------I
#          I                                                                                                                        I
#          I      BC_GALAXEV  ---  MODEL PARAMETERS:   Generic file name for this model = Template11                                I
#          I                                                                                                                        I
#          I      TRACKS: Padova (1994) + S. Charlot (1997). X=0.70, Y=0.28, Z=0.02                                                 I
#          I                                                                                                                        I
#          I      S.F.R.: Exponential with MU9 = 0.865/Gyr      TAU =   0.500 Gyr (does not include processed gas recycling)        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I      I.M.F.: Lognormal + power law                                                                                     I
#          I                                                                      mass in      number                               I
#          I                                                  from m     to m     segment    of stars      c                        I
#          I                                        lognormal*******     1.00      0.0000      0.0000                               I
#          I                                          x=1.3     1.00*********      2.4749      0.5722                               I
#          I                                                                                                                        I
#          I                                                           totals      1.0000      1.4903  0.6710 Mo/star               I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I      LISTED: Rest frame properties                                                                                     I
#          I                                                                                                                        I
#          I                                                                                                                        I
#          I                              (C) 1995-2017 G. Bruzual A. & S. Charlot - All Rights Reserved                            I
#          I------------------------------------------------------------------------------------------------------------------------I
#
#    (1)       (2)       (3)       (4)        (5)       (6)          (7)          (8)          (9)         (10)         (11)           (12)        (13)        (14)        (15)        (16)        (17)
#                                                                                                                      M*_tot=
#log-age-yr    Mbol      Bmag      Vmag      Kmag      M*_liv     M_remnants    M_ret_gas    M_galaxy      SFR/yr    M*_liv+M_rem   M*_tot/Lb   M*_tot/Lv   M*_tot/Lk   M*_liv/Lb   M*_liv/Lv   M*_liv/Lk
  6.879999    2.0780    4.6522    4.8268    4.5296   1.4438E-02   2.3473E-05   0.0000E+00   0.0000E+00   1.9699E-09   1.4462E-02   6.9357E-03  1.4823E-02  4.5299E-02  6.9244E-03  1.4799E-02  4.5225E-02
  6.899999    2.0586    4.6190    4.7880    4.3676   1.5069E-02   2.7270E-05   0.0000E+00   0.0000E+00   1.9685E-09   1.5096E-02   7.0217E-03  1.4930E-02  4.0727E-02  7.0091E-03  1.4903E-02  4.0654E-02
  6.919999    2.0403    4.5899    4.7531    4.2025   1.5725E-02   3.1556E-05   0.0000E+00   0.0000E+00   1.9670E-09   1.5756E-02   7.1356E-03  1.5090E-02  3.6512E-02  7.1213E-03  1.5060E-02  3.6439E-02
  6.939999    2.0229    4.5650    4.7218    4.0400   1.6408E-02   3.6527E-05   0.0000E+00   0.0000E+00   1.9655E-09   1.6445E-02   7.2783E-03  1.5302E-02  3.2811E-02  7.2621E-03  1.5268E-02  3.2738E-02
  6.959999    2.0067    4.5430    4.6937    3.8969   1.7120E-02   4.2305E-05   0.0000E+00   0.0000E+00   1.9639E-09   1.7163E-02   7.4435E-03  1.5563E-02  3.0017E-02  7.4252E-03  1.5524E-02  2.9943E-02
  6.979999    1.9911    4.5214    4.6667    3.7767   1.7862E-02   4.8635E-05   0.0000E+00   0.0000E+00   1.9622E-09   1.7911E-02   7.6149E-03  1.5842E-02  2.8041E-02  7.5942E-03  1.5799E-02  2.7965E-02
  6.999999    1.9759    4.4993    4.6393    3.6697   1.8635E-02   5.5367E-05   0.0000E+00   0.0000E+00   1.9604E-09   1.8690E-02   7.7863E-03  1.6119E-02  2.6515E-02  7.7633E-03  1.6071E-02  2.6437E-02
  7.020000    1.9612    4.4768    4.6115    3.5722   1.9440E-02   6.2687E-05   0.0000E+00   0.0000E+00   1.9586E-09   1.9503E-02   7.9580E-03  1.6394E-02  2.5293E-02  7.9324E-03  1.6342E-02  2.5211E-02
  7.040001    1.9469    4.4540    4.5835    3.4831   2.0279E-02   7.0791E-05   0.0000E+00   0.0000E+00   1.9566E-09   2.0350E-02   8.1311E-03  1.6671E-02  2.4310E-02  8.1028E-03  1.6613E-02  2.4225E-02
  7.059999    1.9331    4.4311    4.5557    3.4012   2.1153E-02   7.9853E-05   0.0000E+00   0.0000E+00   1.9546E-09   2.1232E-02   8.3072E-03  1.6955E-02  2.3522E-02  8.2760E-03  1.6891E-02  2.3433E-02
  7.079998    1.9198    4.4084    4.5283    3.3258   2.2063E-02   8.9776E-05   0.0000E+00   0.0000E+00   1.9525E-09   2.2152E-02   8.4875E-03  1.7247E-02  2.2895E-02  8.4531E-03  1.7178E-02  2.2803E-02
  7.099998    1.9071    4.3861    4.5016    3.2572   2.3011E-02   1.0052E-04   0.0000E+00   0.0000E+00   1.9503E-09   2.3111E-02   8.6748E-03  1.7558E-02  2.2423E-02  8.6370E-03  1.7481E-02  2.2326E-02
  7.119998    1.8949    4.3647    4.4766    3.1969   2.3998E-02   1.1230E-04   0.0000E+00   0.0000E+00   1.9480E-09   2.4110E-02   8.8732E-03  1.7899E-02  2.2128E-02  8.8318E-03  1.7816E-02  2.2025E-02
  7.139998    1.8833    4.3444    4.4529    3.1428   2.5026E-02   1.2526E-04   0.0000E+00   0.0000E+00   1.9455E-09   2.5151E-02   9.0845E-03  1.8270E-02  2.1962E-02  9.0392E-03  1.8179E-02  2.1852E-02
  7.160000    1.8718    4.3246    4.4298    3.0907   2.6097E-02   1.3938E-04   0.0000E+00   0.0000E+00   1.9430E-09   2.6236E-02   9.3056E-03  1.8655E-02  2.1836E-02  9.2561E-03  1.8556E-02  2.1720E-02
  7.180000    1.8608    4.3056    4.4071    3.0394   2.7212E-02   1.5468E-04   0.0000E+00   0.0000E+00   1.9404E-09   2.7367E-02   9.5380E-03  1.9058E-02  2.1726E-02  9.4841E-03  1.8950E-02  2.1603E-02
  7.199999    1.8500    4.2872    4.3851    2.9890   2.8375E-02   1.7138E-04   0.0000E+00   0.0000E+00   1.9376E-09   2.8546E-02   9.7818E-03  1.9479E-02  2.1634E-02  9.7230E-03  1.9362E-02  2.1504E-02
  7.219998    1.8397    4.2695    4.3638    2.9396   2.9585E-02   1.8955E-04   0.0000E+00   0.0000E+00   1.9347E-09   2.9774E-02   1.0038E-02  1.9922E-02  2.1562E-02  9.9742E-03  1.9796E-02  2.1425E-02
  7.240000    1.8296    4.2526    4.3433    2.8915   3.0845E-02   2.0931E-04   0.0000E+00   0.0000E+00   1.9317E-09   3.1054E-02   1.0308E-02  2.0392E-02  2.1514E-02  1.0238E-02  2.0254E-02  2.1369E-02
  7.260000    1.8200    4.2365    4.3241    2.8459   3.2157E-02   2.3082E-04   0.0000E+00   0.0000E+00   1.9285E-09   3.2388E-02   1.0592E-02  2.0894E-02  2.1515E-02  1.0517E-02  2.0745E-02  2.1362E-02
  7.280000    1.8108    4.2210    4.3059    2.8043   3.3523E-02   2.5421E-04   0.0000E+00   0.0000E+00   1.9252E-09   3.3777E-02   1.0889E-02  2.1428E-02  2.1595E-02  1.0807E-02  2.1267E-02  2.1432E-02
  7.300000    1.8018    4.2056    4.2881    2.7651   3.4945E-02   2.7958E-04   0.0000E+00   0.0000E+00   1.9218E-09   3.5225E-02   1.1196E-02  2.1982E-02  2.1721E-02  1.1108E-02  2.1808E-02  2.1548E-02
  7.319999    1.7930    4.1902    4.2701    2.7265   3.6427E-02   3.0703E-04   0.0000E+00   0.0000E+00   1.9182E-09   3.6734E-02   1.1511E-02  2.2548E-02  2.1861E-02  1.1415E-02  2.2360E-02  2.1678E-02
  7.340000    1.7845    4.1748    4.2521    2.6887   3.7969E-02   3.3673E-04   0.0000E+00   0.0000E+00   1.9144E-09   3.8306E-02   1.1836E-02  2.3127E-02  2.2017E-02  1.1732E-02  2.2923E-02  2.1823E-02
  7.359999    1.7763    4.1595    4.2341    2.6519   3.9574E-02   3.6886E-04   0.0000E+00   0.0000E+00   1.9104E-09   3.9943E-02   1.2169E-02  2.3718E-02  2.2193E-02  1.2056E-02  2.3499E-02  2.1988E-02
